spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,genus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,nameAccordingToID,created,modified,references,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Abarema clypearia f. clypearia,Abarema clypearia f. clypearia,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,13,1,1,wfo-0000185987,,Archidendron clypearia,SPECIES,wfo-4000002895,(Jack) I.C.Nielsen,Fabaceae,Archidendron,clypearia,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-32323,,TRUE,Synonym,wfo-0001058162,Abarema clypearia
Abarema scutifera,Abarema scutifera,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,2,1,wfo-0000206642,,Archidendron scutiferum,SPECIES,wfo-4000002895,(Blanco) I.C.Nielsen,Fabaceae,Archidendron,scutiferum,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-52847,,TRUE,Synonym,wfo-0000206646,Abarema scutifera
Abies religiosa,Abies religiosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,3,1,wfo-0000511376,261625-1,Abies religiosa,SPECIES,wfo-4000000038,(Kunth) Schltdl. & Cham.,Pinaceae,Abies,religiosa,,,,Linnaea 5: 77 1830,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2610057,,FALSE,,,
Abies semenovich,Abies semenovich,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,4,1,wfo-0000511404,966490-1,Abies sibirica subsp. semenovii,SUBSPECIES,wfo-0000511396,(B.Fedtsch.) Farjon,Pinaceae,Abies,sibirica,semenovii,subsp.,,Pinaceae 81 1990,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2610083,,TRUE,Synonym,wfo-0000511393,Abies semenovii
Abroma augusta,Abroma augusta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,5,1,wfo-0000511487,822006-1,Abroma augusta,SPECIES,wfo-4000000053,(L.) L.f.,Malvaceae,Abroma,augusta,,,,Suppl. Pl. 341 1782,Accepted,,,2012-03-26,2012-03-26,http://www.theplantlist.org/tpl1.1/record/kew-2610167,,FALSE,,,
Abrus precatoruis,Abrus precatoruis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,6,1,wfo-0000178702,,Abrus precatorius,SPECIES,wfo-4000000060,L.,Fabaceae,Abrus,precatorius,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-2477,,FALSE,,,
Acacia acanthophylla,Acacia acanthophylla,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,7,1,wfo-0000163837,518-2,Acacia hayesii,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,hayesii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10251,,TRUE,Synonym,wfo-0000166140,Acacia acanthophylla
Acacia albida,Acacia albida,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,1,wfo-0000186081,,Faidherbia albida,SPECIES,wfo-4000014564,(Delile) A.Chev.,Fabaceae,Faidherbia,albida,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-32479,,TRUE,Synonym,wfo-0000188059,Acacia albida
Acacia angustissima,Acacia angustissima,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,9,1,wfo-0000182075,,Acacia angustissima,SPECIES,wfo-4000000074,(Mill.) Kuntze,Fabaceae,Acacia,angustissima,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-28172,,FALSE,,,
Acacia arabica,Acacia arabica,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,10,1,wfo-0000205536,,Acacia nilotica,SPECIES,wfo-4000000074,(L.) Delile,Fabaceae,Acacia,nilotica,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-518,,TRUE,Synonym,wfo-0000183026,Acacia arabica
Acacia auriculiformis,Acacia auriculiformis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,11,1,wfo-0000173754,,Acacia auriculiformis,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,auriculiformis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-19892,,FALSE,,,
Acacia callensis,Acacia callensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,2,12,1,wfo-0000163796,,Acacia acatlensis,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,acatlensis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10214,,FALSE,,,
Acacia callensis,Acacia callensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,2,12,2,wfo-0000512490,469938-1,Acacia capensis,SPECIES,,(Burm.f.) Burch.,Fabaceae,Acacia,capensis,,,,Trav. S. Africa 1: 195 1822,Unchecked,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2611591,,FALSE,,,
Acacia callensis,Acacia callensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,2,12,3,wfo-0000512491,469937-1,Acacia capensis,SPECIES,wfo-4000000074,Colla,Fabaceae,Acacia,capensis,,,,Mem. Reale Accad. Sci. Torino 35: 75 1831,Unchecked,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2611592,,FALSE,,,
Acacia catechu,Acacia catechu,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,13,1,wfo-0000186808,,Acacia catechu,SPECIES,wfo-4000000074,(L.f.) Willd.,Fabaceae,Acacia,catechu,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-33296,,FALSE,,,
Acacia centralis,Acacia centralis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,14,1,wfo-0000163814,,Acacia centralis,SPECIES,wfo-4000000074,(Britton & Rose) Lundell,Fabaceae,Acacia,centralis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10230,,FALSE,,,
Acacia collinsi,Acacia collinsi,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,15,1,wfo-0000182077,,Acacia collinsii,SPECIES,wfo-4000000074,Saff.,Fabaceae,Acacia,collinsii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-28174,,FALSE,,,
Acacia collinsii,Acacia collinsii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,16,1,wfo-0000182077,,Acacia collinsii,SPECIES,wfo-4000000074,Saff.,Fabaceae,Acacia,collinsii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-28174,,FALSE,,,
Acacia confusa,Acacia confusa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,17,1,wfo-0000186120,,Acacia confusa,SPECIES,wfo-4000000074,Merr.,Fabaceae,Acacia,confusa,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-32525,,FALSE,,,
Acacia deamii,Acacia deamii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,18,1,wfo-0000164742,,Acacia picachensis,SPECIES,wfo-4000000074,Brandegee,Fabaceae,Acacia,picachensis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-11167,,TRUE,Synonym,wfo-0000167075,Acacia deamii
Acacia dolichostachya,Acacia dolichostachya,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,19,1,wfo-0000163825,,Acacia dolichostachya,SPECIES,wfo-4000000074,S.F.Blake,Fabaceae,Acacia,dolichostachya,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10240,,FALSE,,,
Acacia farnesiana,Acacia farnesiana,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,20,1,wfo-0000195712,,Acacia farnesiana,SPECIES,wfo-4000000074,(L.) Willd.,Fabaceae,Acacia,farnesiana,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-423,,FALSE,,,
Acacia glomerosa,Acacia glomerosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,21,1,wfo-0000163832,,Acacia glomerosa,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,glomerosa,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10247,,FALSE,,,
Acacia hindsii,Acacia hindsii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,22,1,wfo-0000163838,,Acacia hindsii,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,hindsii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10252,,FALSE,,,
Acacia hockii,Acacia hockii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,23,1,wfo-0000199192,,Acacia hockii,SPECIES,wfo-4000000074,De Wild.,Fabaceae,Acacia,hockii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-457,,FALSE,,,
Acacia macrothyrsa,Acacia macrothyrsa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,24,1,wfo-0000188267,,Acacia amythethophylla,SPECIES,wfo-4000000074,A.Rich.,Fabaceae,Acacia,amythethophylla,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-348,,TRUE,Synonym,wfo-0000188366,Acacia macrothyrsa
Acacia mangium,Acacia mangium,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,25,1,wfo-0000202567,,Acacia mangium,SPECIES,wfo-4000000074,Willd.,Fabaceae,Acacia,mangium,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-48913,,FALSE,,,
Acacia mellifera,Acacia mellifera,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,26,1,wfo-0000186859,,Acacia mellifera,SPECIES,wfo-4000000074,(M.Vahl) Benth.,Fabaceae,Acacia,mellifera,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-33354,,FALSE,,,
Acacia nigrescens,Acacia nigrescens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,27,1,wfo-0000205225,,Acacia nigrescens,SPECIES,wfo-4000000074,Oliv.,Fabaceae,Acacia,nigrescens,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-515,,FALSE,,,
Acacia nilotica,Acacia nilotica,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,28,1,wfo-0000205536,,Acacia nilotica,SPECIES,wfo-4000000074,(L.) Delile,Fabaceae,Acacia,nilotica,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-518,,FALSE,,,
Acacia pennatula,Acacia pennatula,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,29,1,wfo-0000173770,,Acacia pennatula,SPECIES,wfo-4000000074,(Schltdl. & Cham.) Benth.,Fabaceae,Acacia,pennatula,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-19908,,FALSE,,,
Acacia polyacantha,Acacia polyacantha,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,30,1,wfo-0000209605,,Acacia polyacantha,SPECIES,wfo-4000000074,Willd.,Fabaceae,Acacia,polyacantha,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-556,,FALSE,,,
Acacia ruddiae,Acacia ruddiae,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,31,1,wfo-0000164228,,Acacia ruddiae,SPECIES,wfo-4000000074,D.H.Janzen,Fabaceae,Acacia,ruddiae,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10642,,FALSE,,,
Acacia seyal,Acacia seyal,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,32,1,wfo-0000210994,,Acacia seyal,SPECIES,wfo-4000000074,Delile,Fabaceae,Acacia,seyal,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-609,,FALSE,,,
Acacia sieberana,Acacia sieberana,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,33,1,wfo-0000211037,,Acacia sieberiana,SPECIES,wfo-4000000074,DC.,Fabaceae,Acacia,sieberiana,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-613,,FALSE,,,
Acacia sieberiana,Acacia sieberiana,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,34,1,wfo-0000211037,,Acacia sieberiana,SPECIES,wfo-4000000074,DC.,Fabaceae,Acacia,sieberiana,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-613,,FALSE,,,
Acacia tortilis,Acacia tortilis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,35,1,wfo-0000211235,,Acacia tortilis,SPECIES,wfo-4000000074,(Forssk.) Hayne,Fabaceae,Acacia,tortilis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-632,,FALSE,,,
Acacia welwitschii,Acacia welwitschii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,36,1,wfo-0000211406,,Acacia welwitschii,SPECIES,wfo-4000000074,Oliv.,Fabaceae,Acacia,welwitschii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-649,,FALSE,,,
Acalypha amentacea,Acalypha amentacea,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,37,1,wfo-0000286842,337154-1,Acalypha amentacea,SPECIES,wfo-4000000080,Roxb.,Euphorbiaceae,Acalypha,amentacea,,,,Fl. Ind. ed. 1832 3: 676 1832,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-169,,FALSE,,,
Acalypha caturus,Acalypha caturus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,38,1,wfo-0000781500,337250-1,Acalypha caturus,SPECIES,wfo-4000000080,Blume,Euphorbiaceae,Acalypha,caturus,,,,Bijdr. 629 1826,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-320,,FALSE,,,
Acalypha indica,Acalypha indica,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,39,1,wfo-0000953231,337497-1,Acalypha indica,SPECIES,wfo-4000000080,L.,Euphorbiaceae,Acalypha,indica,,,,Sp. Pl. 1003 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-713,,FALSE,,,
Acalypha indica,Acalypha indica,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,39,2,wfo-0000959997,337529-1,Acalypha lanceolata,SPECIES,wfo-4000000080,Willd.,Euphorbiaceae,Acalypha,lanceolata,,,,Sp. Pl. 4: 524 1805,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-777,,TRUE,Synonym,wfo-0000953336,Acalypha indica
Acalypha indica,Acalypha indica,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,39,3,wfo-0000219111,1447-2,Acalypha poiretii,SPECIES,wfo-4000000080,Spreng.,Euphorbiaceae,Acalypha,poiretii,,,,Syst. Veg. 3: 879 1826,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-1041,,TRUE,Synonym,wfo-0000953446,Acalypha indica
Acalypha lancetillae,Acalypha lancetillae,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,40,1,wfo-0000960326,1335-2,Acalypha lancetillae,SPECIES,wfo-4000000080,Standl.,Euphorbiaceae,Acalypha,lancetillae,,,,"Publ. Field Mus. Nat. Hist., Bot. Ser. 4: 312 1929",Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-780,,FALSE,,,
Acanthus illicifolius,Acanthus illicifolius,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,1,41,1,wfo-0000513844,44873-1,Acanthus ilicifolius,SPECIES,wfo-4000000168,L.,Acanthaceae,Acanthus,ilicifolius,,,,Sp. Pl. 639 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2615257,,FALSE,,,
Acanthus illicifolius,Acanthus illicifolius,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,1,41,2,wfo-0000513823,44857-1,Acanthus ebracteatus,SPECIES,wfo-4000000168,Vahl,Acanthaceae,Acanthus,ebracteatus,,,,Symb. Bot. 2: 75 1791,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2615237,,TRUE,Synonym,wfo-0000513845,Acanthus ilicifolius
Accacia mimosa,Accacia mimosa,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3474,FALSE,TRUE,NA,42,1,,,,,,,,,,,,,,,,,1000-01-02,1000-01-02,,,FALSE,,,
Acer monspessulanum var. hermoneum,Acer monspessulanum var. hermoneum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,15,43,1,wfo-0000514593,781402-1,Acer monspessulanum,SPECIES,wfo-4000000188,L.,Sapindaceae,Acer,monspessulanum,,,,Sp. Pl. 1056 1753,Accepted,,,2012-03-26,2012-03-26,http://www.theplantlist.org/tpl1.1/record/kew-2615976,,FALSE,,,
Acer syriaca,Acer syriaca,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,44,1,wfo-0000514724,781422-1,Acer obtusifolium,SPECIES,wfo-4000000188,Sm.,Sapindaceae,Acer,obtusifolium,,,,Fl. Graec. t. 361 1824,Accepted,,,2012-03-26,2012-03-26,http://www.theplantlist.org/tpl1.1/record/kew-2616102,,TRUE,Synonym,wfo-0000515167,Acer syriacum
Acer tauricolum,Acer tauricolum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,45,1,wfo-0000514358,,Acer hyrcanum subsp. tauricolum,SUBSPECIES,wfo-0000514347,(Boiss. & Balansa) Yalt.,Sapindaceae,Acer,hyrcanum,tauricolum,subsp.,,Notes Roy. Bot. Gard. Edinburgh 28: 9 1967,Accepted,,,2012-03-26,2012-03-26,http://www.theplantlist.org/tpl1.1/record/kew-2615748,,TRUE,Synonym,wfo-0000515195,Acer tauricolum
Acer turkestanica,Acer turkestanica,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,46,1,wfo-0000514891,,Acer platanoides subsp. turkestanicum,SUBSPECIES,wfo-0000514884,(Pax) P.C.DeJong,Sapindaceae,Acer,platanoides,turkestanicum,subsp.,,Maples World 227 1994,Accepted,,,2012-03-26,2012-03-26,http://www.theplantlist.org/tpl1.1/record/kew-2616260,,TRUE,Synonym,wfo-0000515258,Acer turkestanicum
Achatocarpus nigricans,Achatocarpus nigricans,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,47,1,wfo-0000515939,58636-1,Achatocarpus nigricans,SPECIES,wfo-4000000211,Triana,Achatocarpaceae,Achatocarpus,nigricans,,,,"Ann. Sci. Nat., Bot. IV, 9: 46 1858",Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2617242,,FALSE,,,
Acmena acuminatissima,Acmena acuminatissima,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,48,1,wfo-0000318188,601372-1,Syzygium acuminatissimum,SPECIES,wfo-4000037381,(Blume) DC.,Myrtaceae,Syzygium,acuminatissimum,,,,Prodr. 3: 261 1828,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-199165,,TRUE,Synonym,wfo-0000328936,Acmena acuminatissima
Acnistus arbore,Acnistus arbore,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,5,49,1,wfo-0001019154,,Acnistus arborescens,SPECIES,wfo-4000000321,(L.) Schltdl.,Solanaceae,Acnistus,arborescens,,,,"(L. ) Schltdl., Linnaea 7: 67. 1832, 1832.",Accepted,,,1000-01-01,1000-01-01,http://solanaceaesource.org/solanaceae/acnistus-arborescens,,FALSE,,,
Acosmium paname,Acosmium paname,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,50,1,wfo-0000184517,,Acosmium panamense,SPECIES,wfo-4000000355,(Benth.) Yakovlev,Fabaceae,Acosmium,panamense,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-30591,,FALSE,,,
Acosmium panamense,Acosmium panamense,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,51,1,wfo-0000184517,,Acosmium panamense,SPECIES,wfo-4000000355,(Benth.) Yakovlev,Fabaceae,Acosmium,panamense,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-30591,,FALSE,,,
Acrocomia acule,Acrocomia acule,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,52,1,wfo-0000486739,,Acrocomia aculeata,SPECIES,wfo-4000000409,(Jacq.) Lodd. ex Mart.,Arecaceae,Acrocomia,aculeata,,,,Hist. Nat. Palm. 3: 286 1845,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2570,,FALSE,,,
Acrocomia acule,Acrocomia acule,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,52,2,wfo-0000486739,,Acrocomia aculeata,SPECIES,wfo-4000000409,(Jacq.) Lodd. ex Mart.,Arecaceae,Acrocomia,aculeata,,,,Hist. Nat. Palm. 3: 286 1845,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2570,,TRUE,Synonym,wfo-0000509872,Acrocomia ulei
Acrocomia mexicana,Acrocomia mexicana,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,53,1,wfo-0000486739,,Acrocomia aculeata,SPECIES,wfo-4000000409,(Jacq.) Lodd. ex Mart.,Arecaceae,Acrocomia,aculeata,,,,Hist. Nat. Palm. 3: 286 1845,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2570,,TRUE,Synonym,wfo-0000499646,Acrocomia mexicana
Acrocomia vinífera,Acrocomia vinífera,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,54,1,wfo-0000486739,,Acrocomia aculeata,SPECIES,wfo-4000000409,(Jacq.) Lodd. ex Mart.,Arecaceae,Acrocomia,aculeata,,,,Hist. Nat. Palm. 3: 286 1845,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2570,,TRUE,Synonym,wfo-0000511313,Acrocomia vinifera
Actinodaphne dolichophylla,Actinodaphne dolichophylla,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,55,1,wfo-0000519426,462238-1,Actinodaphne dolichophylla,SPECIES,wfo-4000000510,(Merr.) Merr.,Lauraceae,Actinodaphne,dolichophylla,,,,Enum. Philipp. Fl. Pl. 2: 190 1923,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2620867,,FALSE,,,
Actinophlous macarthurii,Actinophlous macarthurii,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,56,1,wfo-0000288809,,Ptychosperma macarthurii,SPECIES,wfo-4000032139,(H.Wendl. ex H.J.Veitch) H.Wendl. ex Hook.f.,Arecaceae,Ptychosperma,macarthurii,,,,Rep. Progr. Condition Roy. Bot. Gard. Kew 1882: 55 1884,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-170862,,TRUE,Synonym,wfo-0000635898,Actinophloeus macarthurii
Adansonia digitata,Adansonia digitata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,57,1,wfo-0000519672,558628-1,Adansonia digitata,SPECIES,wfo-4000000560,L.,Malvaceae,Adansonia,digitata,,,,Sp. Pl. 1190 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2621135,,FALSE,,,
Adelia barbinervis,Adelia barbinervis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,58,1,wfo-0000753751,338099-1,Adelia barbinervis,SPECIES,wfo-4000000569,Cham. & Schltdl.,Euphorbiaceae,Adelia,barbinervis,,,,Linnaea 6: 362 1831,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2932,,FALSE,,,
Adelia triloba,Adelia triloba,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,59,1,wfo-0000760562,338143-1,Adelia triloba,SPECIES,wfo-4000000569,(Müll.Arg.) Hemsl.,Euphorbiaceae,Adelia,triloba,,,,"Biol. Cent.-Amer., Bot. 3: 130 1883",Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2996,,FALSE,,,
Adenanthera intermedia,Adenanthera intermedia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,60,1,wfo-0000206894,,Adenanthera intermedia,SPECIES,wfo-4000000594,Merr.,Fabaceae,Adenanthera,intermedia,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-53081,,FALSE,,,
