spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,genus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,nameAccordingToID,created,modified,references,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Irvingia grandifolia,Irvingia grandifolia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,4,1,wfo-0000732300,813768-1,Irvingia grandifolia,SPECIES,wfo-4000019199,(Engl.) Engl.,Irvingiaceae,Irvingia,grandifolia,,,,Bot. Jahrb. Syst. 46: 288 1911,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2866792,,FALSE,,,
Irvingia robur,Irvingia robur,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,5,1,wfo-0000732316,813783-1,Irvingia robur,SPECIES,wfo-4000019199,Mildbr.,Irvingiaceae,Irvingia,robur,,,,Notizbl. Königl. Bot. Gart. Berlin App. 27: 25 1913,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2866807,,FALSE,,,
Irvingia smithii,Irvingia smithii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,6,1,wfo-0000732317,813784-1,Irvingia smithii,SPECIES,wfo-4000019199,Hook.f.,Irvingiaceae,Irvingia,smithii,,,,Trans. Linn. Soc. London 23: 167 1860,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2866808,,FALSE,,,
Iryantrera gradis,Iryantrera gradis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,7,1,wfo-0001085222,130208-2,Iryanthera grandis,SPECIES,wfo-4000019201,Ducke,Myristicaceae,Iryanthera,grandis,,,,J. Wash. Acad. Sci. 26: 220 1936,Accepted,,,2012-04-18,2012-04-18,http://www.theplantlist.org/tpl1.1/record/tro-21800189,,FALSE,,,
Isoberlinia angolensis,Isoberlinia angolensis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,1,wfo-0000168912,,Isoberlinia angolensis,SPECIES,wfo-4000019256,(Benth.) Hoyle & Brenan,Fabaceae,Isoberlinia,angolensis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-1525,,FALSE,,,
Isoberlinia doka,Isoberlinia doka,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,9,1,wfo-0000168954,,Isoberlinia doka,SPECIES,wfo-4000019256,Craib & Stapf,Fabaceae,Isoberlinia,doka,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-1529,,FALSE,,,
Isoberlinia tomentosa,Isoberlinia tomentosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,10,1,wfo-0000168995,,Isoberlinia tomentosa,SPECIES,wfo-4000019256,(Harms) Craib & Stapf,Fabaceae,Isoberlinia,tomentosa,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-1533,,FALSE,,,
Isolona hexaloba,Isolona hexaloba,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,11,1,wfo-0000732630,,Isolona hexaloba,SPECIES,wfo-4000019285,(Pierre) Engl. & Diels,Annonaceae,Isolona,hexaloba,,,,Monogr. Afrik. Pflanzen-Fam. 4: 82 1900,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2867403,,FALSE,,,
Isolona thonneri,Isolona thonneri,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,12,1,wfo-0000732640,,Isolona thonneri,SPECIES,wfo-4000019285,(De Wild. & T.Durand) Engl. & Diels,Annonaceae,Isolona,thonneri,,,,Monogr. Afrik. Pflanzen-Fam. 4: 83 1900,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2867418,,FALSE,,,
Itea macrophylla,Itea macrophylla,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,13,1,wfo-0001234069,791740-1,Itea macrophylla,SPECIES,wfo-4000019360,Wall.,Iteaceae,Itea,macrophylla,,,,"Fl. Ind., ed. 1820 2: 419 1824",Accepted,,,2012-04-18,2012-04-18,http://www.theplantlist.org/tpl1.1/record/tro-50077912,,FALSE,,,
