ID,Submitted_Name,Order,Family,Genus,Species,Infrasp,Infraspecies,Authors,Status,LCVP_Accepted_Taxon,PL_Comparison,PL_Alternative,Score,Insertion,Deletion,Substitution
588,Cedrela macrocarpa,Sapindales,Meliaceae,Cedrela,macrocarpa,species, ,Ducke,synonym,Cedrela fissilis Vell.,identical,,matched,0,0,0
589,Cedrela mexicana,Sapindales,Meliaceae,Cedrela,mexicana,species, ,M.Roem.,synonym,Cedrela odorata L.,identical,,matched,0,0,0
590,Cedrela odorata,Sapindales,Meliaceae,Cedrela,odorata,species, ,L.,accepted,Cedrela odorata L.,identical,,matched,0,0,0
591,Cedrela tonduzi,Sapindales,Meliaceae,Cedrela,tonduzii,species, ,C.DC.,accepted,Cedrela tonduzii C.DC.,identical,,misspelling: Epithet,0,1,0
592,Cedrelat odorata,,,,,,,,,,,,Genus name not found,0,0,0
593,Cedrus libani,Pinales,Pinaceae,Cedrus,libani,species, ,A.Rich.,accepted,Cedrus libani A.Rich.,identical,,matched,0,0,0
594,Ceiba aesculifolia,Malvales,Bombacaceae,Ceiba,aesculifolia,species, ,(Kunth) Britten & Baker.f.,accepted,Ceiba aesculifolia (Kunth) Britten & Baker.f.,identical,,matched,0,0,0
595,Ceiba pentandra,Malvales,Bombacaceae,Ceiba,pentandra,species, ,(L.) Gaertn.,accepted,Ceiba pentandra (L.) Gaertn.,identical,,matched,0,0,0
596,Ceiba pentandro,Malvales,Bombacaceae,Ceiba,pentandra,species, ,(L.) Gaertn.,accepted,Ceiba pentandra (L.) Gaertn.,identical,,misspelling: Epithet,0,0,1
597,Celtis adolfi,Rosales,Cannabaceae,Celtis,adolfi-friderici,species, ,Engl.,accepted,Celtis adolfi-friderici Engl.,identical,,misspelling: Epithet,0,10,0
598,Celtis adolfifriderici,Rosales,Cannabaceae,Celtis,adolfi-friderici,species, ,Engl.,accepted,Celtis adolfi-friderici Engl.,identical,,misspelling: Epithet,0,1,0
599,Celtis africana,Rosales,Cannabaceae,Celtis,africana,species, ,Burm.f.,accepted,Celtis africana Burm.f.,identical,,matched,0,0,0
600,Celtis australis,Rosales,Cannabaceae,Celtis,australis,species, ,L.,accepted,Celtis australis L.,identical,,matched,0,0,0
601,Celtis caucasica,Rosales,Cannabaceae,Celtis,caucasica,species, ,Hohen. ex Planch.,synonym,Celtis australis L.,missing,,matched,0,0,0
601,Celtis caucasica,Rosales,Cannabaceae,Celtis,caucasica,species, ,Willd.,synonym,Celtis australis L.,identical,,matched,0,0,0
602,Celtis comphophylla,Rosales,Cannabaceae,Celtis,gomphophylla,species, ,Baker,accepted,Celtis gomphophylla Baker,identical,,misspelling: Epithet,0,0,1
603,Celtis integrifolia,Rosales,Cannabaceae,Celtis,integrifolia,species, ,Lam.,synonym,Celtis toka (Forssk.) Hepper & J.R.I.Wood,identical,,matched,0,0,0
604,Celtis luzonica,Rosales,Cannabaceae,Celtis,luzonica,species, ,Warb.,accepted,Celtis luzonica Warb.,identical,,matched,0,0,0
605,Celtis mildbraedii,Rosales,Cannabaceae,Celtis,mildbraedii,species, ,Engl.,accepted,Celtis mildbraedii Engl.,identical,,matched,0,0,0
606,Celtis philippensis,Rosales,Cannabaceae,Celtis,philippensis,species, ,Blanco,accepted,Celtis philippensis Blanco,identical,,matched,0,0,0
607,Celtis philippinensis,Sapindales,Sapindaceae,Crossonephelis,philippinensis,species, ,(Radlk.) Leenh.,synonym,Glenniea philippinensis (Radlk.) Leenh.,identical,,matched,0,0,0
608,Celtis prantlii,Rosales,Cannabaceae,Celtis,prantlii,species, ,Priemer ex Engl.,synonym,Celtis philippensis Blanco,synonym,,matched,0,0,0
609,Celtis tessmannii,Rosales,Cannabaceae,Celtis,tessmannii,species, ,Rendle,accepted,Celtis tessmannii Rendle,identical,,matched,0,0,0
610,Celtis trinervia,Rosales,Cannabaceae,Celtis,trinervia,species, ,Lam.,accepted,Celtis trinervia Lam.,identical,,matched,0,0,0
611,Celtis zenkeri,Rosales,Cannabaceae,Celtis,zenkeri,species, ,Engl.,accepted,Celtis zenkeri Engl.,identical,,matched,0,0,0
612,Cerasus avium,Rosales,Rosaceae,Cerasus,avium,species, ,(L.) Moench,synonym,Prunus avium (L.) L.,identical,,matched,0,0,0
613,Cerasus mahaleb,Rosales,Rosaceae,Cerasus,mahaleb,species, ,(L.) Mill.,synonym,Prunus mahaleb L.,identical,,matched,0,0,0
614,Ceratonia siliqua,Fabales,Fabaceae,Ceratonia,siliqua,species, ,L.,accepted,Ceratonia siliqua L.,identical,,matched,0,0,0
615,Cerbera manghas,Gentianales,Apocynaceae,Cerbera,manghas,species, ,L.,accepted,Cerbera manghas L.,identical,,matched,0,0,0
616,Cercis siliquastrum,Fabales,Fabaceae,Cercis,siliquastrum,species, ,L.,accepted,Cercis siliquastrum L.,identical,,matched,0,0,0
617,Ceriops decandra,Malpighiales,Rhizophoraceae,Ceriops,decandra,species, ,(Roxb. ex Griff.) DingHou,accepted,Ceriops decandra (Roxb. ex Griff.) DingHou,missing,,matched,0,0,0
618,Cespedesia macr,Malpighiales,Ochnaceae,Cespedesia,macrophylla,species, ,Seem.,synonym,Cespedesia spathulata (Ruiz & Pav.) Planch.,identical,,misspelling: Epithet,0,7,0
619,Cespedesia macrophylla,Malpighiales,Ochnaceae,Cespedesia,macrophylla,species, ,Seem.,synonym,Cespedesia spathulata (Ruiz & Pav.) Planch.,identical,,matched,0,0,0
620,Cespedezia macrophylla,,,,,,,,,,,,Genus name not found,0,0,0
621,Cestrum aurantiacum,Solanales,Solanaceae,Cestrum,aurantiacum,species, ,Lindl.,accepted,Cestrum aurantiacum Lindl.,identical,,matched,0,0,0
622,Cestrum diurnum,Solanales,Solanaceae,Cestrum,diurnum,species, ,L.,accepted,Cestrum diurnum L.,identical,,matched,0,0,0
623,Cestrum dumetorum,Solanales,Solanaceae,Cestrum,dumetorum,species, ,Schltdl.,accepted,Cestrum dumetorum Schltdl.,identical,,matched,0,0,0
624,Chickrassia tabularis,Sapindales,Meliaceae,Chickrassia,tabularis,species, ,Wight & Arn.,synonym,Chukrasia tabularis A.Juss.,missing,,matched,0,0,0
625,Chimarrhis latifolia,Gentianales,Rubiaceae,Chimarrhis,latifolia,species, ,Standl.,accepted,Chimarrhis latifolia Standl.,identical,,matched,0,0,0
626,Chimarrhis parv,Gentianales,Rubiaceae,Chimarrhis,barbata,species, ,(Ducke) Bremek.,accepted,Chimarrhis barbata (Ducke) Bremek.,identical,,misspelling: Epithet,0,3,2
627,Chimarrhis parviflora,Gentianales,Rubiaceae,Chimarrhis,parviflora,species, ,Standl.,accepted,Chimarrhis parviflora Standl.,identical,,matched,0,0,0
628,Chinnamomum zeylanicum,,,,,,,,,,,,Genus name not found,0,0,0
629,Chiococca alba,Gentianales,Rubiaceae,Chiococca,alba,species, ,(L.) Hitchc.,accepted,Chiococca alba (L.) Hitchc.,identical,,matched,0,0,0
630,Chionanthus pan,Lamiales,Oleaceae,Chionanthus,acunae,species, ,(Borhidi & O.Muñiz) Borhidi,accepted,Chionanthus acunae (Borhidi & O.Muñiz) Borhidi,identical,,misspelling: Epithet,1,4,0
630,Chionanthus pan,Lamiales,Oleaceae,Chionanthus,bakeri,species, ,(Urb.) Stearn,accepted,Chionanthus bakeri (Urb.) Stearn,identical,,misspelling: Epithet,0,3,2
630,Chionanthus pan,Lamiales,Oleaceae,Chionanthus,enerve,species, ,(Steenis) Kiew,accepted,Chionanthus enerve (Steenis) Kiew,identical,,misspelling: Epithet,1,4,1
630,Chionanthus pan,Lamiales,Oleaceae,Chionanthus,hahlii,species, ,(Rech.) Kiew,accepted,Chionanthus hahlii (Rech.) Kiew,identical,,misspelling: Epithet,0,3,2
630,Chionanthus pan,Lamiales,Oleaceae,Chionanthus,nitens,species, ,Koord. & Valeton,accepted,Chionanthus nitens Koord. & Valeton,identical,,misspelling: Epithet,0,3,2
630,Chionanthus pan,Lamiales,Oleaceae,Chionanthus,tenuis,species, ,P.S.Green,accepted,Chionanthus tenuis P.S.Green,identical,,misspelling: Epithet,0,3,2
631,Chiranthodendron pentadactylon,Malvales,Bombacaceae,Chiranthodendron,pentadactylon,species, ,Larreat.,accepted,Chiranthodendron pentadactylon Larreat.,identical,,matched,0,0,0
632,Chisocheton cumingianus,Sapindales,Meliaceae,Chisocheton,cummingianus,species, ,(C.DC.) Harms,accepted,Chisocheton cummingianus (C.DC.) Harms,identical,,misspelling: Epithet,0,1,0
633,Chisocheton pentandrus,Sapindales,Meliaceae,Chisocheton,pentandrus,species, ,(Blanco) Merr.,accepted,Chisocheton pentandrus (Blanco) Merr.,identical,,matched,0,0,0
634,Chlorophora excelsa,Rosales,Moraceae,Chlorophora,excelsa,species, ,(Welw.) Benth.,synonym,Milicia excelsa (Welw.) C.C.Berg,identical,,matched,0,0,0
635,Chlorophora tinctoria,Rosales,Moraceae,Chlorophora,tinctoria,species, ,(L.) Gaudich.,synonym,Maclura tinctoria (L.) D.Don ex Steud.,identical,,matched,0,0,0
635,Chlorophora tinctoria,Rosales,Moraceae,Chlorophora,tinctoria,species, ,(L.) Gaudich. ex Benth.,synonym,Maclura tinctoria (L.) D.Don ex Steud.,identical,,matched,0,0,0
636,Chonjelia spinosa,,,,,,,,,,,,Genus name not found,0,0,0
637,Christiana africana,Malvales,Brownlowiaceae,Christiana,africana,species, ,DC.,accepted,Christiana africana DC.,identical,,matched,0,0,0
638,Chromolaena odorata,Asterales,Asteraceae,Chromolaena,odorata,species, ,(L.) R.M.King & H.Rob.,accepted,Chromolaena odorata (L.) R.M.King & H.Rob.,identical,,matched,0,0,0
639,Chrysobalanus icaco,Malpighiales,Chrysobalanaceae,Chrysobalanus,icaco,species, ,L.,accepted,Chrysobalanus icaco L.,identical,,matched,0,0,0
640,Chrysophyllum a,Ericales,Sapotaceae,Chrysophyllum,ulei,species, ,K.Krause,synonym,Ecclinusa ulei (K.Krause) Gilly ex Cronquist,identical,,misspelling: Epithet,0,3,1
641,Chrysophyllum bangweolense,Ericales,Sapotaceae,Chrysophyllum,bangweolense,species, ,R.E.Fr.,accepted,Chrysophyllum bangweolense R.E.Fr.,identical,,matched,0,0,0
642,Chrysophyllum c,Ericales,Sapotaceae,Chrysophyllum,ulei,species, ,K.Krause,synonym,Ecclinusa ulei (K.Krause) Gilly ex Cronquist,identical,,misspelling: Epithet,0,3,1
643,Chrysophyllum caimito,Ericales,Sapotaceae,Chrysophyllum,cainito,species, ,L.,accepted,Chrysophyllum cainito L.,identical,,misspelling: Epithet,0,0,1
644,Chrysophyllum cainito,Ericales,Sapotaceae,Chrysophyllum,cainito,species, ,L.,accepted,Chrysophyllum cainito L.,identical,,matched,0,0,0
645,Chrysophyllum magalismontanum,Ericales,Sapotaceae,Chrysophyllum,magalismontanum,species, ,Sond.,synonym,Englerophytum magalismontanum (Sond.) T.D.Penn.,identical,,matched,0,0,0
646,Chrysophyllum mexicanum,Ericales,Sapotaceae,Chrysophyllum,mexicanum,species, ,Brandegee,accepted,Chrysophyllum mexicanum Brandegee,identical,,matched,0,0,0
647,Chrysophyllum oliv,Ericales,Sapotaceae,Chrysophyllum,ovale,species, ,Rusby,accepted,Chrysophyllum ovale Rusby,identical,,misspelling: Epithet,1,2,1
648,Chysobalanus icaco,,,,,,,,,,,,Genus name not found,0,0,0
649,Cicca acida,Malpighiales,Phyllanthaceae,Cicca,acida,species, ,(L.) Merr.,synonym,Phyllanthus acidus (L.) Skeels,identical,,matched,0,0,0
650,Cinchona officinalis,Gentianales,Rubiaceae,Cinchona,officinalis,species, ,L.,accepted,Cinchona officinalis L.,identical,,matched,0,0,0
651,Cinnamomum cinn,Laurales,Lauraceae,Cinnamomum,iners,species, ,Reinw. ex Blume,accepted,Cinnamomum iners Reinw. ex Blume,identical,,misspelling: Epithet,1,2,1
652,Cinnamomum mercadoi,Laurales,Lauraceae,Cinnamomum,mercadoi,species, ,S.Vidal,accepted,Cinnamomum mercadoi S.Vidal,identical,,matched,0,0,0
653,Cinnamomum microphyllum,Laurales,Lauraceae,Cinnamomum,microphyllum,species, ,Ridl.,accepted,Cinnamomum microphyllum Ridl.,identical,,matched,0,0,0
654,Cinnamomum mindanaense,Laurales,Lauraceae,Cinnamomum,mindanaense,species, ,Elmer,synonym,Cinnamomum burmanni (Nees & T.Nees) Blume,identical,,matched,0,0,0
655,Cinnamomum obtusifolium,Laurales,Lauraceae,Cinnamomum,obtusifolium,species, ,(Roxb.) Nees,synonym,Cinnamomum bejolghota (Buch.-Ham.) Sweet,identical,,matched,0,0,0
656,Cinnamomum tamala,Laurales,Lauraceae,Cinnamomum,tamala,species, ,(Buch.-Ham.) T.Nees & C.H.Eberm.,accepted,Cinnamomum tamala (Buch.-Ham.) T.Nees & C.H.Eberm.,different authors,,matched,0,0,0
657,Cinometra colimensis,,,,,,,,,,,,Genus name not found,0,0,0
658,Citropsis articulata,Sapindales,Rutaceae,Citropsis,articulata,species, ,(Willd. ex Spreng.) Swingle & M.Kellerm.,accepted,Citropsis articulata (Willd. ex Spreng.) Swingle & M.Kellerm.,identical,,matched,0,0,0
659,Citrus aurantifolia,Sapindales,Rutaceae,Citrus,aurantiifolia_x,species, ,(Christm.) Swingle,accepted,Citrus aurantiifolia_x (Christm.) Swingle,identical,,misspelling: Epithet,0,3,0
660,Citrus grandis,Sapindales,Rutaceae,Citrus,grandis,species, ,(L.) Osbeck,synonym,Citrus maxima (Burm.) Merr.,identical,,matched,0,0,0
661,Citrus hystrix,Sapindales,Rutaceae,Citrus,hystrix,species, ,DC.,accepted,Citrus hystrix DC.,identical,,matched,0,0,0
662,Citrus limon,Sapindales,Rutaceae,Citrus,limon,species, ,(L.) Osbeck,accepted,Citrus limon (L.) Osbeck,identical,,matched,0,0,0
663,Citrus limonia,Sapindales,Rutaceae,Citrus,limon,species, ,(L.) Osbeck,accepted,Citrus limon (L.) Osbeck,identical,,misspelling: Epithet,2,0,0
664,Citrus microcarpa,Vitales,Vitaceae,Cissus,microcarpa,species, ,Vahl,accepted,Cissus microcarpa Vahl,identical,,matched,0,0,0
664,Citrus microcarpa,Sapindales,Rutaceae,Citrus,microcarpa_x,species, ,Bunge,accepted,Citrus microcarpa_x Bunge,unresolved,,matched,0,2,0
665,Citrus nobilis,Vitales,Vitaceae,Cissus,nobilis,species, ,Kuhlm.,accepted,Cissus nobilis Kuhlm.,identical,,matched,0,0,0
666,Citrus paradisi,Sapindales,Rutaceae,Citrus,paradisi,species, ,Macfad.,synonym,Citrus aurantium_x L.,synonym,,matched,0,0,0
667,Citrus reticulata,Sapindales,Rutaceae,Citrus,reticulata,species, ,Blanco,accepted,Citrus reticulata Blanco,identical,,matched,0,0,0
668,Citrus sinensis,Sapindales,Rutaceae,Citrus,sinensis,species, ,(L.) Osbeck,synonym,Citrus aurantium_x L.,synonym,,matched,0,0,0
669,Citrus vulgaris,Malvales,Cistaceae,Cistus,vulgaris,species, ,Spach,synonym,Cistus creticus L.,identical,,matched,0,0,0
669,Citrus vulgaris,Sapindales,Rutaceae,Citrus,vulgaris_x,species, ,Ferrarius ex Mill.,synonym,Citrus limon (L.) Osbeck,identical,,matched,0,2,0
669,Citrus vulgaris,Sapindales,Rutaceae,Citrus,vulgaris_x,species, ,Risso,synonym,Citrus aurantium_x L.,identical,,matched,0,2,0
669,Citrus vulgaris,Rosales,Rhamnaceae,Paliurus,vulgaris,species, ,Steud.,synonym,Paliurus spina-christi Mill.,unresolved,,matched,0,0,0
670,Claoxylon arboreum,Malpighiales,Euphorbiaceae,Claoxylon,arboreum,species, ,Elmer,accepted,Claoxylon arboreum Elmer,identical,,matched,0,0,0
671,Cleistanthus polystachyus,Malpighiales,Phyllanthaceae,Cleistanthus,polystachyus,species, ,Hook.f. ex Planch.,accepted,Cleistanthus polystachyus Hook.f. ex Planch.,identical,,matched,0,0,0
672,Cleistocalyx operculatus,Myrtales,Myrtaceae,Cleistocalyx,operculatus,species, ,(Roxb.) Merr. & L.M.Perry,synonym,Syzygium nervosum A.Cunn. ex DC.,identical,,matched,0,0,0
673,Cleistopholis glauca,Magnoliales,Annonaceae,Cleistopholis,glauca,species, ,Pierre ex Engl. & Diels,accepted,Cleistopholis glauca Pierre ex Engl. & Diels,identical,,matched,0,0,0
674,Cleistopholis patens,Magnoliales,Annonaceae,Cleistopholis,patens,species, ,(Benth.) Engl. & Diels,accepted,Cleistopholis patens (Benth.) Engl. & Diels,identical,,matched,0,0,0
675,Clematis meyeniana,Ranunculales,Ranunculaceae,Clematis,meyeniana,species, ,Walp.,accepted,Clematis meyeniana Walp.,identical,,matched,0,0,0
676,Clerodendrum lanuginosum,Lamiales,Lamiaceae,Clerodendrum,lanuginosum,species, ,Blume,accepted,Clerodendrum lanuginosum Blume,identical,,matched,0,0,0
677,Clerondendrum inerme,,,,,,,,,,,,Genus name not found,0,0,0
678,Clethra lanata,Ericales,Clethraceae,Clethra,lanata,species, ,M.Martens & Galeotti,synonym,Clethra mexicana DC.,synonym,,matched,0,0,0
679,Clethra lancifolia,Ericales,Clethraceae,Clethra,lancifolia,species, ,Turcz.,synonym,Clethra canescens Reinw. ex Blume,identical,,matched,0,0,0
680,Clethra luzonica,Ericales,Clethraceae,Clethra,luzonica,species, ,Merr.,synonym,Clethra canescens Reinw. ex Blume,identical,,matched,0,0,0
681,Clethra macrophylla,Ericales,Clethraceae,Clethra,macrophylla,species, ,M.Martens & Galeotti,accepted,Clethra macrophylla M.Martens & Galeotti,synonym,Clethra occidentalis (L.) Kuntze,matched,0,0,0
682,Clethra mexicana,Ericales,Clethraceae,Clethra,mexicana,species, ,DC.,accepted,Clethra mexicana DC.,identical,,matched,0,0,0
683,Clethra pulgarensis,Ericales,Clethraceae,Clethra,pulgarensis,species, ,Elmer,accepted,Clethra pulgarensis Elmer,identical,,matched,0,0,0
684,Clethra skutchii,Ericales,Clethraceae,Clethra,skutchii,species, ,Standl. & Steyerm.,accepted,Clethra skutchii Standl. & Steyerm.,identical,,matched,0,0,0
685,Cleyera japonica,Ericales,Ternstroemiaceae,Cleyera,japonica,species, ,Thunb.,accepted,Cleyera japonica Thunb.,identical,,matched,0,0,0
686,Clorophora tinctoria,,,,,,,,,,,,Genus name not found,0,0,0
687,Clusia minor,Malpighiales,Clusiaceae,Clusia,minor,species, ,L.,accepted,Clusia minor L.,identical,,matched,0,0,0
688,Clusia rosea,Malpighiales,Clusiaceae,Clusia,rosea,species, ,Jacq.,accepted,Clusia rosea Jacq.,identical,,matched,0,0,0
689,Cnestidium rufescens,Oxalidales,Connaraceae,Cnestidium,rufescens,species, ,Planch.,accepted,Cnestidium rufescens Planch.,identical,,matched,0,0,0
690,Coccoloba belizensis,Caryophyllales,Polygonaceae,Coccoloba,belizensis,species, ,Standl.,accepted,Coccoloba belizensis Standl.,identical,,matched,0,0,0
691,Coccoloba caracasana,Caryophyllales,Polygonaceae,Coccoloba,caracasana,species, ,Meisn.,accepted,Coccoloba caracasana Meisn.,identical,,matched,0,0,0
692,Coccoloba floribunda,Caryophyllales,Polygonaceae,Coccoloba,floribunda,species, ,(Benth.) Lindau,accepted,Coccoloba floribunda (Benth.) Lindau,identical,,matched,0,0,0
693,Coccoloba hondurensis,Caryophyllales,Polygonaceae,Coccoloba,hondurensis,species, ,Lundell,accepted,Coccoloba hondurensis Lundell,identical,,matched,0,0,0
694,Coccoloba laurifolia,Caryophyllales,Polygonaceae,Coccoloba,laurifolia,species, ,Jacq.,synonym,Coccoloba diversifolia Jacq.,identical,,matched,0,0,0
695,Coccoloba reflexiflora,Caryophyllales,Polygonaceae,Coccoloba,reflexiflora,species, ,Standl.,accepted,Coccoloba reflexiflora Standl.,identical,,matched,0,0,0
696,Coccoloba schippii,Caryophyllales,Polygonaceae,Coccoloba,schippii,species, ,Lundell,synonym,Coccoloba escuintlensis Lundell,identical,,matched,0,0,0
697,Coccoloba spicata,Caryophyllales,Polygonaceae,Coccoloba,spicata,species, ,Lundell,accepted,Coccoloba spicata Lundell,identical,,matched,0,0,0
698,Coccoloba tuerckheimii,Caryophyllales,Polygonaceae,Coccoloba,tuerckheimii,species, ,Donn.Sm.,accepted,Coccoloba tuerckheimii Donn.Sm.,identical,,matched,0,0,0
699,Coccoloba tuerkheimii,Caryophyllales,Polygonaceae,Coccoloba,tuerckheimii,species, ,Donn.Sm.,accepted,Coccoloba tuerckheimii Donn.Sm.,identical,,misspelling: Epithet,0,1,0
700,Coccoloba uvifera,Caryophyllales,Polygonaceae,Coccoloba,uvifera,species, ,(L.) L.,accepted,Coccoloba uvifera (L.) L.,identical,,matched,0,0,0
701,Cochlospermum v,Malvales,Cochlospermaceae,Cochlospermum,noldei,species, ,Poppend.,accepted,Cochlospermum noldei Poppend.,identical,,misspelling: Epithet,0,5,1
701,Cochlospermum v,Malvales,Cochlospermaceae,Cochlospermum,regium,species, ,(Schrank) Pilg.,accepted,Cochlospermum regium (Schrank) Pilg.,identical,,misspelling: Epithet,0,5,1
701,Cochlospermum v,Malvales,Cochlospermaceae,Cochlospermum,wittei,species, ,Robyns,accepted,Cochlospermum wittei Robyns,identical,,misspelling: Epithet,0,5,1
702,Cochlospermum vitifolium,Malvales,Cochlospermaceae,Cochlospermum,vitifolium,species, ,(Willd.) Spreng.,accepted,Cochlospermum vitifolium (Willd.) Spreng.,identical,,matched,0,0,0
703,Cochlospermum vitifoliwn,Malvales,Cochlospermaceae,Cochlospermum,vitifolium,species, ,(Willd.) Spreng.,accepted,Cochlospermum vitifolium (Willd.) Spreng.,identical,,misspelling: Epithet,0,0,2
704,Cococ nucifera,,,,,,,,,,,,Genus name not found,0,0,0
705,Cocos nucifera,Arecales,Arecaceae,Cocos,nucifera,species, ,L.,accepted,Cocos nucifera L.,identical,,matched,0,0,0
706,Cocos nuscifera,Arecales,Arecaceae,Cocos,nucifera,species, ,L.,accepted,Cocos nucifera L.,identical,,misspelling: Epithet,1,0,0
707,Codiaeum luzonicum,Malpighiales,Euphorbiaceae,Codiaeum,luzonicum,species, ,Merr.,accepted,Codiaeum luzonicum Merr.,identical,,matched,0,0,0
708,Coelocaryon preussii,Magnoliales,Myristicaceae,Coelocaryon,preussii,species, ,Warb.,accepted,Coelocaryon preussii Warb.,identical,,matched,0,0,0
709,Coffea arabica,Gentianales,Rubiaceae,Coffea,arabica,species, ,L.,accepted,Coffea arabica L.,identical,,matched,0,0,0
710,Coffea arabiga,Gentianales,Rubiaceae,Coffea,arabica,species, ,L.,accepted,Coffea arabica L.,identical,,misspelling: Epithet,0,0,1
711,Cojoba arborea,Fabales,Fabaceae,Cojoba,arborea,species, ,(L.) Britton & Rose,accepted,Cojoba arborea (L.) Britton & Rose,identical,,matched,0,0,0
712,Cola acuminata,Malvales,Sterculiaceae,Cola,acuminata,species, ,(P.Beauv.) Schott & Endl.,accepted,Cola acuminata (P.Beauv.) Schott & Endl.,identical,,matched,0,0,0
713,Cola argentea,Malvales,Sterculiaceae,Cola,argentea,species, ,Mast.,accepted,Cola argentea Mast.,identical,,matched,0,0,0
714,Cola ballayi,Malvales,Sterculiaceae,Cola,ballayi,species, ,Cornu ex A.Tschirch & O.Oesterle,accepted,Cola ballayi Cornu ex A.Tschirch & O.Oesterle,missing,,matched,0,0,0
715,Cola chlamydantha,Malvales,Sterculiaceae,Cola,chlamydantha,species, ,K.Schum.,accepted,Cola chlamydantha K.Schum.,identical,,matched,0,0,0
716,Cola ficifolia,Malvales,Sterculiaceae,Cola,ficifolia,species, ,Mast.,accepted,Cola ficifolia Mast.,identical,,matched,0,0,0
717,Cola lateritia,Malvales,Sterculiaceae,Cola,lateritia,species, ,K.Schum.,accepted,Cola lateritia K.Schum.,identical,,matched,0,0,0
718,Cola lepidota,Malvales,Sterculiaceae,Cola,lepidota,species, ,K.Schum.,accepted,Cola lepidota K.Schum.,identical,,matched,0,0,0
719,Cola mirabilis,Malvales,Sterculiaceae,Cola,mirabilis,species, ,A.Chev.,synonym,Cola chlamydantha K.Schum.,unresolved,,matched,0,0,0
720,Cola nitida,Malvales,Sterculiaceae,Cola,nitida,species, ,(Vent.) Schott & Endl.,accepted,Cola nitida (Vent.) Schott & Endl.,identical,,matched,0,0,0
721,Cola verticiliata,Malvales,Sterculiaceae,Cola,verticillata,species, ,(Thonn.) Stapf ex A.Chev.,accepted,Cola verticillata (Thonn.) Stapf ex A.Chev.,identical,,misspelling: Epithet,0,0,1
721,Cola verticiliata,Caryophyllales,Amaranthaceae,Salsola,verticillata,species, ,Schousb.,accepted,Salsola verticillata Schousb.,identical,,misspelling: Epithet,0,0,1
721,Cola verticiliata,Asterales,Goodeniaceae,Scaevola,verticillata,species, ,Leenh.,accepted,Scaevola verticillata Leenh.,unresolved,,misspelling: Epithet,0,0,1
722,Colletoecema dewevrei,Gentianales,Rubiaceae,Colletoecema,dewevrei,species, ,(DeWild.) E.M.A.Petit,accepted,Colletoecema dewevrei (DeWild.) E.M.A.Petit,identical,,matched,0,0,0
723,Colona blancoi,Malvales,Sparrmanniaceae,Colona,blancoi,species, ,(Rolfe) Merr.,accepted,Colona blancoi (Rolfe) Merr.,identical,,matched,0,0,0
724,Colona lanceolata,Malvales,Sparrmanniaceae,Colona,lanceolata,species, ,(Warb.) Burret,accepted,Colona lanceolata (Warb.) Burret,identical,,matched,0,0,0
725,Colona mollis,Malvales,Sparrmanniaceae,Colona,mollis,species, ,(Warb.) Burret,accepted,Colona mollis (Warb.) Burret,identical,,matched,0,0,0
726,Colona philippinensis,Malvales,Sparrmanniaceae,Colona,philippinensis,species, ,(S.Vidal) Burret,accepted,Colona philippinensis (S.Vidal) Burret,different authors,,matched,0,0,0
727,Colona serratifolia,Malvales,Sparrmanniaceae,Colona,serratifolia,species, ,Cav.,accepted,Colona serratifolia Cav.,identical,,matched,0,0,0
728,Colono serratifolia,,,,,,,,,,,,Genus name not found,0,0,0
729,Colophospermum mopane,Fabales,Fabaceae,Colophospermum,mopane,species, ,(J.Kirk ex Benth.) J.Kirk ex J.Léonard,accepted,Colophospermum mopane (J.Kirk ex Benth.) J.Kirk ex J.Léonard,synonym,Copaiba mopane (J.Kirk ex Benth.) Kuntze,matched,0,0,0
730,Colubrina arborescens,Rosales,Rhamnaceae,Colubrina,arborescens,species, ,(Mill.) Sarg.,accepted,Colubrina arborescens (Mill.) Sarg.,identical,,matched,0,0,0
731,Colubrina guatemalensis,Rosales,Rhamnaceae,Colubrina,guatemalensis,species, ,Standl.,synonym,Colubrina triflora Brongn. ex Sweet,identical,,matched,0,0,0
732,Combretodendron quadrialatum,Myrtales,Combretaceae,Combretodendron,quadrialatum,species, ,(Merr.) R.Knuth,synonym,Terminalia quintalata Maguire,other synonym,Petersianthus quadrialatus (Merr.) Merr.,matched,0,0,0
733,Combretum adenogonium,Myrtales,Combretaceae,Combretum,adenogonium,species, ,Steud. ex A.Rich.,accepted,Combretum adenogonium Steud. ex A.Rich.,identical,,matched,0,0,0
734,Combretum binderianum,Myrtales,Combretaceae,Combretum,binderianum,species, ,Kotschy,synonym,Combretum collinum Fresen.,identical,,matched,0,0,0
735,Combretum celastroides,Myrtales,Combretaceae,Combretum,celastroides,species, ,Welw. ex M.A.Lawson,accepted,Combretum celastroides Welw. ex M.A.Lawson,identical,,matched,0,0,0
736,Combretum collinum,Myrtales,Combretaceae,Combretum,collinum,species, ,Fresen.,accepted,Combretum collinum Fresen.,identical,,matched,0,0,0
737,Combretum fragrans,Myrtales,Combretaceae,Combretum,fragrans,species, ,F.Hoffm.,accepted,Combretum fragrans F.Hoffm.,synonym,Combretum adenogonium Steud. ex A.Rich.,matched,0,0,0
738,Combretum glutinosum,Myrtales,Combretaceae,Combretum,glutinosum,species, ,Perr. ex DC.,accepted,Combretum glutinosum Perr. ex DC.,identical,,matched,0,0,0
