scientific_name
---.AUSENTE DA LISTA.---
---ABSENTE DE LA LISTE---
---INCONNUE---
---NOT IN LIST----
---NOT KNOWN---
Artocarpus chaplasha
Artocarpus communis
Artocarpus cumingianus
Artocarpus cummunis
Artocarpus grandiflorus
Artocarpus heterophylla
Artocarpus heterophyllus
Artocarpus indicus
Artocarpus lacucha
Artocarpus nitidus
Artocarpus odoratissimus
Artocarpus odoratissumus
Artocarpus ovata
Artocarpus pinnatisecta
Artocarpus sericicarpus
Aspidosperma me
Aspidosperma megalocarpon
Aspidosperma megalocarpon Muell. Arg.
Aspidosperma stegomeris
Aspidpsperma megalocarpum
Asrianthes viminalis
Assila badjoué
Asteraceae
Astianthes viminalis
Astrocaryum ala
Astronia cumingiana
Astronia megalantha
Astronia pulchra
Astronia purpuriflora
Astronia sp
Astronium fraxinifolium
Astronium grave
Astronium graveolens
Astronium graveolens Jacq.
Atalantia disticha
Ateleia herbert-smithii
Atong
Attalea butyrac
Aubrevillea
Aubrevillea kerstingii
Aucoumea
Aucoumea klaineana
Autranella
Autranella congolensis
Averrhoa bilimbi
Averrhoa carambola
Avicennia germinans
Avicennia marina
Avicennia officinalis
Azadirachata excelsa
Azadirachta indica
Azadirachta indica A. Juss.
Azanza
Azanza garckeana
Baccaurea philippinensis
Baccaurea ramiflora
Baccharis vaccinioides
Bactris gasipaes
Bactris sp
Baikiaea
Baikiaea plurijuga
Baillonella
Baillonella toxisperma
Balanites
Balanites aegyptiaca
Balanites sp.
Balanites wilsoniana
Balizia elegans
Balizia leucalys
Bambusa arundinacea
Bambusa balcooa
Bambusa blumeana
Bambusa longispiculata
Bambusa polymorpha
Bambusa spp
Bambusa teres
Bambusa tulda
Bambusa vulgaris
Baphia
Baphia bequaertii
Baphia lepidobotrys
Baphia massaiensis
Baphia pubescens
Baphia sp.
Barleria lupulina
Barringtonia acutangula
Barringtonia asiatica
Barringtonia racemosa
"Barringtonia racemosa
Barringtonia racemosa"
Barteria
Barteria fistulosa
Bauhinia
Bauhinia monandra
Bauhinia pauletia
Bauhinia petersiana
Bauhinia racemosa
Bauhinia rufescens
Bauhinia tomentosa
Bauhinia ungulata
Becium
Becium obovatum
Beilschmiedia
Beilschmiedia anacardioides
Beilschmiedia fulva
Beilschmiedia obscura
Belamcanda chinensis
Bellucia costaricensis
Bellucia grossularioides
Bellucia pentamera
Belotia campbellii
Belotia camthllii
Belotia mexicana
Belotia sp.
Belotia sp01.
Berchemia
Berlinia
Berlinia auriculata
Berlinia bracteosa
Berlinia giorgi
Berlinia giorgii
Berlinia grandiflora
Berlinia sp.
Bersama
Betula turkestanica
Beureria oxiphilla
Billia hippocastanum
Billia sp
Biosimum sp
Bischofia javanica
Bixa orellana
Blepharidium arboreum
Blepharidium guatemalense
Blighia
Blighia welwitschii
Bombacopsis qui
Bombacopsis quinatum
Bombacopsis sp.
Bombax buonopozense
Bombax ceiba
Bombax costatum
Bombax ellipticum
Bombax sp.
Borassus
Borassus aethiopium
Borassus aethiopum
Borassus flabellifer
Boscia
Boscia albitrunca
Bosqueia angolensis
Boswellia dalzielii
Boswellia odorata
Bouea oppositifolia
Bourreria huanita
Brachystegia
Brachystegia allenii
Brachystegia boehmii
Brachystegia bussei
Brachystegia cynometroides
Brachystegia eurycoma
Brachystegia floribunda
Brachystegia kennedyi
Brachystegia longifolia
Brachystegia lujae
Brachystegia manga
Brachystegia microphylla
Brachystegia mildbraedii
Brachystegia spiciformis
Brachystegia stipulata
Brachystegia tamarindoides
Brachystegia taxifolia
Brachystegia utilis
Brachystegia wangermeeana
Brassica juncea
Bravaisia integerrima
Brenania
Brenania brieyi
